model_name,model_family,validation_best_epoch,validation_MAE,validation_RMSE,validation_R2,validation_sMAPE,validation_WAPE,validation_MASE,validation_Bias,test_MAE,test_RMSE,test_R2,test_sMAPE,test_WAPE,test_MASE,test_Bias,selected_by_validation
BiLSTM,sequence,12.0,61.454052766164146,88.25985990087972,0.8468564459066876,74.14261699565304,28.584860184119346,0.6249663044319284,25.30824891726176,83.15529775619507,110.91740944003051,0.7761939424620604,58.93287738139799,33.20610425099925,0.8481728051083176,14.485196696387398,True
GRU,sequence,38.0,62.344453612963356,88.54771832737042,0.8458558653094747,79.22972238968228,28.999023002809647,0.6340213708049235,21.59540053208669,77.4511251449585,106.15820666014011,0.794987874557626,59.10194213795983,30.928277636154316,0.7899910149513084,19.13424735599094,False
VanillaLSTM,sequence,17.0,63.27863105138143,89.41463882896804,0.8428228145576634,72.60076337188254,29.43354815228916,0.6435216298617725,29.30064868927002,80.32235998577542,106.57765013977199,0.7933646203181982,51.30415444323373,32.07483745887066,0.8192772225023961,17.373598681555855,False
RandomForest,tabular,,73.70955772878756,102.32199576360877,0.7941692342420755,71.17289403671882,34.2854094482711,0.7496005197632079,36.28116635294341,68.93724256742881,96.84525638831497,0.829380326677882,57.2650216257729,27.528459962305046,0.7031505626530277,18.116568914492362,False
ElasticNet,tabular,,80.69122312285695,102.73201930990383,0.7925163236601444,79.6595764088666,37.53287509644724,0.8206016242259914,54.857485811662684,91.21134827489551,117.24200463688143,0.7499430839952037,72.92790369492651,36.4230981045892,0.9303434322471209,26.526424990206955,False
Ridge,tabular,,79.3627133961456,103.34708915593266,0.7900244232128325,79.08649595750269,36.914929454934864,0.8070911431928868,51.03694799620337,91.93802763655734,118.67564352786086,0.7437902867553094,74.61753908633982,36.71328034814753,0.937755463581578,35.32100213339915,False
ExtraTrees,tabular,,73.26631355458746,106.29621002490819,0.7778696784634929,68.9791897591031,34.079237976534316,0.7450928809494608,32.68012134747473,63.882149221662104,93.06959920513316,0.8424247202027174,52.45267419182387,25.509827803663953,0.6515892933309668,17.15437557695579,False
XGBoost,tabular,,75.75921773355122,115.65275826251006,0.7370432793764793,74.75700415499992,35.238792356246705,0.7704448478564783,42.71808659606316,84.24991899101684,117.65451042772126,0.7481803814854572,66.8623934293003,33.64321570453197,0.8593377938501292,29.19926180644082,False
SeasonalNaive,tabular,,90.00984856863461,142.86628384221981,0.5987345369649191,72.057013304831,41.86735896459269,0.9153687981566181,24.448402095393458,114.01332269285896,156.8961299500682,0.5521868296893767,67.61129043490585,45.52852815152563,1.1629204913876652,-14.312500676078416,False
