model_name,model_family,split,horizon,MAE,RMSE,R2,sMAPE,WAPE,MASE,Bias
GRU,sequence,test,6,79.22501415676541,110.36610943965245,0.7733805061257313,56.030189220264816,32.39381301186736,0.8080844432678825,24.788726382785374
GRU,sequence,test,7,75.27067353990343,106.19690630782783,0.759856409832856,79.88817309547231,36.04407024773216,0.7677507030990823,15.051365746392143
GRU,sequence,test,8,66.96877331203885,94.5059713802697,0.8162689426029941,73.5578478773658,34.7023168469593,0.6830724421343719,12.122366587320963
GRU,sequence,validation,1,57.8338508605957,80.56536606482109,0.8770611989288959,85.21964147440836,25.89484827527672,0.5881501124253656,15.432932535807291
GRU,sequence,validation,2,54.95148118336996,83.28458067090985,0.8699851093105657,78.36580581479984,24.76054979896505,0.5588374171009941,4.786123593648274
GRU,sequence,validation,3,62.66354751586914,92.31395965349269,0.8374522745691925,87.587005918878,27.914355184032264,0.6372664446168103,13.056404113769531
GRU,sequence,validation,4,62.50279299418131,88.86245765610876,0.8520626454331195,67.60669626572627,28.55120499418624,0.6356316271423267,17.6142520904541
GRU,sequence,validation,5,62.48654874165853,89.81468783186271,0.8410471740477236,75.9254072897713,29.76815093906278,0.6354664287540926,18.636435826619465
GRU,sequence,validation,6,64.91156037648518,86.830570349288,0.8351126992724557,79.82692351957593,31.627440290936676,0.6601279521427744,36.62527561187744
GRU,sequence,validation,7,62.895754178365074,87.46200928188517,0.8467415654520679,79.52445097346693,29.815725060391493,0.6396279054675169,26.79851309458415
GRU,sequence,validation,8,70.51009305318196,98.10328785747278,0.8000421202731522,79.78184786083159,34.37247654442671,0.7170630787895076,39.813267389933266
RandomForest,tabular,test,1,61.72934902261451,90.85253338999323,0.847544277509646,48.96084424150278,26.405986982387343,0.6296310220850688,14.877739433781008
RandomForest,tabular,test,2,71.14124821556328,95.02704549984266,0.8283677462581125,46.86348874087723,27.773664598687535,0.725631122563157,28.820734581875893
RandomForest,tabular,test,3,74.43137849486571,101.15469418371899,0.8240046062520114,53.636543523432536,25.851514626071324,0.7591900070054878,14.949841509941491
RandomForest,tabular,test,4,82.72969316430598,105.91821182649915,0.7984826102308061,55.82593808737042,27.91985117126009,0.8438316957585811,11.859765411054056
RandomForest,tabular,test,5,75.75732476829654,102.0702144739476,0.8261767360500806,52.560517302722,26.783734870242554,0.7727144798954302,18.72497173081846
RandomForest,tabular,test,6,70.34449301077693,98.41969338954944,0.8197854680546723,65.56029919395523,28.76271336871964,0.7175043270941582,22.190716282013703
RandomForest,tabular,test,7,56.588962964246534,85.00405313550249,0.8461397168693279,61.53262013426236,27.098157581411208,0.5771997786151861,14.371022570440886
RandomForest,tabular,test,8,58.77549089876109,94.6906212277643,0.815550282592588,73.17992178206072,30.456668489548747,0.5995020682071531,19.137759796013405
RandomForest,tabular,validation,1,70.16580084535254,100.62512326594798,0.8082192160664725,73.11770068662767,31.416423208678566,0.713561746996296,27.94549040698999
RandomForest,tabular,validation,2,78.48733934826186,109.31522217075063,0.7760117660338616,74.57202341695897,35.365555212518345,0.7981888941291321,32.05567041053972
RandomForest,tabular,validation,3,79.71400161938116,108.31753742608697,0.7762084286385724,73.69173192424722,35.50971833637822,0.8106636220251839,28.002163943790435
RandomForest,tabular,validation,4,81.43969866803496,110.35394611622131,0.7718518374844074,74.96847748400478,37.201561479649115,0.8282133597319875,38.922985610001334
RandomForest,tabular,validation,5,72.62538933555848,100.02357437112784,0.8028583931117232,67.73257718182535,34.5982222733336,0.7385749049567041,39.660734520771314
RandomForest,tabular,validation,6,71.66231412158739,98.62274746441373,0.7872859765182524,69.39757367056352,34.91666959522056,0.728780765591222,50.717503531455144
RandomForest,tabular,validation,7,68.99522792758388,95.07874251775888,0.8188858550249478,70.60895375533235,32.70717913173181,0.7016574282808221,33.57637066505228
