date,dewpoint_c,era5land_tp_mm,soil_water_l1,solar_rad_MJm2,surface_pressure_hpa,temp_c,u10_ms,v10_ms,wind_speed_ms,rain_mm
2001-01-01,9.454014764402329,3.659507595927098,0.14806837726392896,12.82888628387097,1008.5334932429768,17.53934173782863,0.493185828966518,0.009118034723877863,1.0222238783337894,5.5263083801125035
2001-02-01,12.478560685767437,9.760116326182747,0.15317132737901473,14.274447819047621,1006.4786135250386,20.800403452538855,-0.3352389051456645,-0.08701985542048281,1.2578580578081706,10.612291073076655
2001-03-01,10.57368453092009,7.7252919630968915,0.1480658473079777,17.99500324676434,1004.4643350742176,25.434324851957452,-0.015638603360849407,0.3694791932570582,1.5659166778363085,14.583770539001987
2001-04-01,19.007885519856185,152.82216546515946,0.25588222978893754,16.716600693333337,1002.4155839794429,26.77247151923905,-1.6411032940964108,0.28239790344077736,2.0308295811371666,112.65494361357258
2001-05-01,23.15129495088114,504.92206924475033,0.400577761444062,12.87022740723363,998.6888530135021,25.87798717706359,-1.372681666702353,0.05774631025582196,1.568797608945544,429.9943724892357
2001-06-01,24.676722144438386,563.9764781485932,0.4132661068078244,10.865733756767677,995.6627685287117,26.931642205851674,-1.9412425768736639,0.6851252125971247,2.162195388038776,419.87403632077314
2001-07-01,25.187042137760056,266.3247083002606,0.4076946285890422,12.93906924965787,995.9197957126075,27.987547982030396,-1.2739015394097706,1.2903631832437277,2.1294635518093146,464.7256261681066
2001-08-01,25.403942625605758,441.0123808431467,0.4113203860991706,13.062826695210168,997.6514153009431,28.000586462782227,-1.1739920551825829,0.56738100135004,1.4942950007116393,309.83384063749605
2001-09-01,24.725126289855783,307.9108966418941,0.4046343384045945,11.76412153693182,1001.2947140174533,27.032995819194575,-0.935894394683517,0.44800881370550866,1.1882986348751978,664.9863800222224
2001-10-01,22.45352707617679,122.0857560816943,0.35057294789025595,11.732305703914605,1005.0532420443092,25.33856379476968,-0.6931197744427307,-0.11370756735666526,1.1265080477671021,383.5513448195025
2001-11-01,17.921226401409346,8.42483266077804,0.22701216765124388,12.067835832727274,1009.3085384262548,22.700180130647116,-0.76241452958046,-0.4546041102200647,1.127683109914538,0.0
2001-12-01,12.020555766936296,2.5205698871969817,0.1583788179737537,11.83978381075269,1012.0954011714932,18.721405514928122,-0.7951912339248733,-0.9082026288733883,1.3775395606574068,5.616368097969981
2002-01-01,11.735819623119964,19.49292115239442,0.18417261732094603,12.093041970283481,1010.6727280679147,18.05210709321692,-0.33392099779488876,-0.3124962534645009,1.4885955275402754,7.474112836519877
2002-02-01,12.325724500047896,1.908300811200504,0.1589202436361822,15.051162860606064,1010.2002342777668,21.3681742281453,0.5919524373258176,-0.0513917765146038,1.3699358896196614,9.933010516925293
2002-03-01,14.504185346004922,43.59319601143963,0.18027828374410848,16.387909333564064,1005.336440307498,24.517251405066514,-0.4583918367235464,0.2330459952859391,1.689677948329327,26.630125438444548
2002-04-01,20.46668933354647,478.9998489625534,0.3586502135562576,12.82843205818182,1003.1415470966173,23.96977500440299,-2.032277862857087,-0.31480862319670144,2.172165223684961,278.00497569748853
2002-05-01,23.105999229209928,350.0925221486203,0.4011254785114486,13.703034787878789,998.476965702896,25.86356843579824,-1.772461078267177,-0.05569313111620642,1.8527432934816608,174.27822637268994
2002-06-01,24.72128725726198,728.2673854662456,0.4159414274684508,8.748665202828283,996.9270922292587,26.601033445159217,-1.4424319575451041,0.8578524070315893,1.9066396028322745,711.272274208069
2002-07-01,25.33461356127292,593.3985416778625,0.41944622389071534,7.983951589442817,994.9718872084633,27.028574112922943,-0.9132990423418795,1.3504532669529772,1.9205633578502077,790.5510721697952
2002-08-01,24.794475937138273,487.16935884920974,0.41403699162030466,11.449160867253179,997.8305151161949,27.223088422137025,-1.5886403957458926,0.40843640952360444,1.9244029306422583,419.46901907776345
2002-09-01,24.567407243259847,362.36492050051703,0.4047820605653705,12.306610851873423,1001.978268845026,26.904917776448183,-0.9641869918826453,0.26528191531948775,1.3553838025671854,591.2466325095206
2002-10-01,21.636268567370863,132.87975318059196,0.3482591571229877,13.867330706479393,1005.8696438280233,24.90831215374633,-0.25805047204728315,-0.11060537776095583,1.0252215683973545,66.50519349069307
2002-11-01,17.280793110882822,22.301907118248856,0.2511292306662408,12.45265811919192,1008.3435428007288,22.114291958664428,-1.1175170089419844,-0.7869528744999408,1.5712152858304775,4.506957372390863
